"","X","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","car_age"
"1",1,"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"Diesel","Manual","First",19.67,1582,126.2,5,12.5,9
"2",2,"Honda Jazz V","Chennai",2011,46000,"Petrol","Manual","First",18.2,1199,88.7,5,4.5,13
"3",3,"Maruti Ertiga VDI","Chennai",2012,87000,"Diesel","Manual","First",20.77,1248,88.76,7,6,12
"4",6,"Nissan Micra Diesel XV","Jaipur",2013,86999,"Diesel","Manual","First",23.08,1461,63.1,5,3.5,11
"5",8,"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"Diesel","Manual","First",20.54,1598,103.6,5,5.2,11
"6",9,"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Diesel","Manual","Second",22.3,1248,74,5,1.95,12
"7",10,"Maruti Ciaz Zeta","Kochi",2018,25692,"Petrol","Manual","First",21.56,1462,103.25,5,9.95,6
"8",11,"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"Petrol","Automatic","First",16.8,1497,116.3,5,4.49,12
"9",12,"Maruti Swift VDI BSIV","Jaipur",2015,64424,"Diesel","Manual","First",25.2,1248,74,5,5.6,9
"10",16,"Honda Amaze S i-Dtech","Kochi",2016,58950,"Diesel","Manual","First",25.8,1498,98.6,5,5.4,8
"11",17,"Maruti Swift DDiS VDI","Jaipur",2017,25000,"Diesel","Manual","First",28.4,1248,74,5,5.99,7
"12",18,"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"Diesel","Manual","First",20.45,1461,83.8,5,6.34,10
"13",20,"BMW 3 Series 320d","Kochi",2014,32982,"Diesel","Automatic","First",22.69,1995,190,5,18.55,10
"14",21,"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Diesel","Manual","Second",23.65,1248,88.5,5,8.25,9
"15",23,"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"Petrol","Manual","First",18.5,1197,80,5,1.87,14
"16",25,"Honda City Corporate Edition","Mumbai",2012,51920,"Petrol","Manual","First",16.8,1497,116.3,5,4.25,12
"17",26,"Nissan Micra Diesel XV","Hyderabad",2012,54000,"Diesel","Manual","First",23.072,1461,63.1,5,4.25,12
"18",27,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Petrol","Manual","Second",20.92,998,67.1,5,2.75,11
"19",28,"Honda WRV i-VTEC VX","Kochi",2018,37430,"Petrol","Manual","First",17.5,1199,88.7,5,9.9,6
"20",30,"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"Diesel","Manual","First",19.01,1461,108.45,5,7.75,11
"21",34,"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Petrol","Manual","Second",16.09,1598,103.5,5,6.98,10
"22",36,"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"Diesel","Manual","First",24.3,1248,88.5,5,8.63,6
"23",37,"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"Petrol","Manual","First",18.15,1198,82,5,4.85,7
"24",39,"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"Diesel","Manual","First",22.07,1199,73.9,5,5,11
"25",40,"Maruti Alto LXi","Delhi",2008,90000,"Petrol","Manual","Second",19.7,796,46.3,5,1.25,16
"26",41,"Tata Nano LX SE","Kochi",2014,19698,"Petrol","Manual","First",25.4,624,37.5,4,1.53,10
"27",42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"Diesel","Manual","First",25.32,1198,77,6,5.58,7
"28",43,"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol","Manual","First",18.5,1197,82.9,5,4.74,10
"29",48,"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"Diesel","Manual","First",24.4,1120,71,5,3.85,10
"30",49,"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Diesel","Manual","Second",16.55,2498,105,6,5.5,12
"31",50,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel","Automatic","First",17.11,1968,174.33,5,21.43,9
"32",51,"Maruti Swift LDI","Delhi",2014,52000,"Diesel","Manual","First",22.9,1248,74,5,4.25,10
"33",52,"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"Diesel","Manual","First",17.8,1248,75,5,3.3,10
"34",53,"Maruti Swift VDI","Delhi",2013,65650,"Diesel","Manual","First",28.4,1248,74,5,3.85,11
"35",54,"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Petrol","Manual","Third",18.9,1197,82,5,3.6,9
"36",56,"Renault KWID RXT","Kochi",2017,16542,"Petrol","Manual","First",25.17,799,53.3,5,3.3,7
"37",57,"Hyundai i10 Asta","Kolkata",2010,32000,"Petrol","Manual","First",20.36,1197,78.9,5,2.07,14
"38",59,"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"Petrol","Manual","First",18.2,998,67.1,5,2.25,14
"39",61,"Ford Figo Diesel Titanium","Bangalore",2010,72000,"Diesel","Manual","First",20,1399,68,5,2.75,14
"40",64,"Tata Indica V2 eLS","Chennai",2016,178000,"Diesel","Manual","First",25,1396,69,5,2.5,8
"41",65,"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"Diesel","Automatic","First",16.55,1968,140,5,13.5,12
"42",66,"Honda City ZX CVT","Mumbai",2007,63000,"Petrol","Automatic","Second",16.4,1497,78,5,1.85,17
"43",68,"Maruti Ertiga SHVS VDI","Pune",2016,63000,"Diesel","Manual","First",24.52,1248,88.5,7,8.15,8
"44",69,"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"Diesel","Manual","First",22.1,1396,88.7,5,10.5,6
"45",72,"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"Petrol","Automatic","First",16.95,1197,78.9,5,3.48,12
"46",73,"Nissan Terrano XV D Pre","Kochi",2015,56066,"Diesel","Manual","First",19.64,1461,108.5,5,6.92,9
"47",74,"Honda Brio VX AT","Coimbatore",2016,37300,"Petrol","Automatic","Second",16.5,1198,86.8,5,6.46,8
