"","Name","Mileage"
"1","Hyundai Creta 1.6 CRDi SX Option",19.67
"2","Honda Jazz V",18.2
"3","Maruti Ertiga VDI",20.77
"4","Audi A4 New 2.0 TDI Multitronic",15.2
"5","Nissan Micra Diesel XV",23.08
"6","Toyota Innova Crysta 2.8 GX AT 8S",11.36
"7","Volkswagen Vento Diesel Comfortline",20.54
"8","Tata Indica Vista Quadrajet LS",22.3
"9","Maruti Ciaz Zeta",21.56
"10","Honda City 1.5 V AT Sunroof",16.8
"11","Maruti Swift VDI BSIV",25.2
"12","Land Rover Range Rover 2.2L Pure",12.7
"13","Land Rover Freelander 2 TD4 SE",0
"14","Mitsubishi Pajero Sport 4X4",13.5
"15","Honda Amaze S i-Dtech",25.8
"16","Maruti Swift DDiS VDI",28.4
"17","Renault Duster 85PS Diesel RxL Plus",20.45
"18","Mercedes-Benz New C-Class C 220 CDI BE Avantgare",14.84
"19","BMW 3 Series 320d",22.69
"20","Maruti S Cross DDiS 200 Alpha",23.65
"21","Audi A6 2011-2015 35 TFSI Technology",13.53
"22","Hyundai i20 1.2 Magna",18.5
"23","Volkswagen Vento Petrol Highline AT",14.4
"24","Honda City Corporate Edition",16.8
"25","Nissan Micra Diesel XV",23.072
"26","Maruti Alto K10 2010-2014 VXI",20.92
"27","Honda WRV i-VTEC VX",17.5
"28","Toyota Innova 2.5 V Diesel 7-seater",12.8
"29","Renault Duster 110PS Diesel RxZ Pack",19.01
"30","Toyota Corolla Altis G",14.53
"31","Mahindra Ssangyong Rexton RX7",11.18
"32","Audi A6 2.7 TDI",12.4
"33","Volkswagen Vento 1.6 Highline",16.09
"34","Maruti Wagon R LXI BSIII",14
"35","Maruti Vitara Brezza ZDi Plus",24.3
"36","Mahindra KUV 100 mFALCON G80 K6 5str AW",18.15
"37","Mercedes-Benz M-Class ML 350 CDI",11.74
"38","Volkswagen Polo Diesel Trendline 1.2L",22.07
"39","Maruti Alto LXi",19.7
"40","Tata Nano LX SE",25.4
"41","Mahindra KUV 100 mFALCON D75 K8 Dual Tone",25.32
"42","Hyundai i20 Magna Optional 1.2",18.5
"43","Hyundai Elantra 2.0 SX Option AT",14.62
"44","Toyota Corolla Altis G AT",14.28
"45","Hyundai Elantra CRDi",14.9
"46","Toyota Innova Crysta 2.7 GX MT",11.25
"47","Hyundai Xcent 1.1 CRDi S",24.4
"48","Mahindra Thar CRDe AC",16.55
